contributor_wikidata_qid,contributor_name,source_type,filename,call_number,title,ds_id,marc_001,catalog_id,catalog_id_field,marc_005,institutional_record_date,catalog_url,iiif_manifest,generated_at
Q49117,University of Pennsylvania,marc-xml,9949222153503681.xml,Oversize LJS 189,Z̲akhīrah-ʹi Khvārazmshāhī,"",9949222153503681,"","",20211008115439.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949222153503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3m03xz3w/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949237593503681.xml,Oversize LJS 19,Carta executoria de hidalguia a pedimiento,"",9949237593503681,"","",20211011114817.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949237593503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3n633/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949240153503681.xml,Oversize LJS 20,Carta executoria de hidalguia a pedimiento,"",9949240153503681,"","",20211011114817.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949240153503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3hd15/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949282643503681.xml,Oversize LJS 16,"Speculum historiale, Books 25-28","",9949282643503681,"","",20211011114817.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949282643503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p35x25d3h/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949349953503681.xml,Oversize LJS 124,"Manuscript leaf from Speculum historiale, Book 29","",9949349953503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949349953503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3qw74/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949525113503681.xml,Oversize LJS 266,La generacion de Adam,"",9949525113503681,"","",20211011114817.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949525113503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3mg6p/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949875283503681.xml,Oversize LJS 231,Statutum habelle communum et terrarum Barge,"",9949875283503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949875283503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3cq0n/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949879143503681.xml,LJS 115,Manuscript leaf from Summa de poenitentia et matrimonio,"",9949879143503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949879143503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3m33r/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949939943503681.xml,Oversize LJS 238,Assise of all manner of breade,"",9949939943503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949939943503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3v07d/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949945603503681.xml,Oversize LJS 110,John Elys deed,"",9949945603503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949945603503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p33p8v/manifest,2023-01-23T18:08:05-05:00
