subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Purgatory--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2010109177,Purgatory;Early works,http://id.worldcat.org/fast/1084326;http://id.worldcat.org/fast/1411636,
Rain and rainfall--Religious aspects--Hinduism,a--x--x,0,,Rain and rainfall;Hinduism,http://id.worldcat.org/fast/1089410;http://id.worldcat.org/fast/957121,
"Religious poetry, Italian",a,fast,http://id.worldcat.org/fast/1094251,"Religious poetry, Italian",http://id.worldcat.org/fast/1094251,
"Riddles, Arabic--Early works to 1800",a--v,0,,"Riddles, Arabic;Early works",http://id.worldcat.org/fast/1097595;http://id.worldcat.org/fast/1411636,
"Rome--History--Empire, 30 B.C.-476 A.D.--Historiography",a--x--y--x,0,,Rome (Empire);History;30 B.C.-476 A.D.;Historiography,http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355908;http://id.worldcat.org/fast/958221,
"Rome--History--Republic, 265-30 B.C.--Historiography.",a--x--y--x,0,,Rome (Empire);History;265-30 B.C.;Historiography,http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355900;http://id.worldcat.org/fast/958221,
Sacred space,a,0,http://id.loc.gov/authorities/subjects/sh88002572,Sacred space,http://id.worldcat.org/fast/1103191,
San Miniato (Italy)--Economic conditions,a--x,0,,Italy--San Miniato;Economic conditions,http://id.worldcat.org/fast/1207349;http://id.worldcat.org/fast/1919582,
Spain--Commerce--New Spain,a--x--z,0,,Spain;Commerce;New Spain,http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/869279;http://id.worldcat.org/fast/1203034,
"Spain--History--Philip II, 1556-1598",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85126078,Spain;History;1556-1598,http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355603,
"Spanish literature--Classical period, 1500-1700",a--y,0,http://id.loc.gov/authorities/subjects/sh85126270,Spanish literature--Classical period,http://id.worldcat.org/fast/1711000,
Spiritual life--Catholic Church,a--x,fast,http://id.worldcat.org/fast/1130109,Spiritual life--Catholic Church,http://id.worldcat.org/fast/1130109,
Statutes.,a,fast,http://id.worldcat.org/fast/1132185,Statutes,http://id.worldcat.org/fast/1132185,
Stoics.,a,fast,http://id.worldcat.org/fast/1133750,Stoics,http://id.worldcat.org/fast/1133750,
Sufi poetry.,a,fast,(OCoLC)fst01137220,Sufi poetry,http://id.worldcat.org/fast/1137220,
Sunnites--Relations--Shīʻah--Early works to 1800,a--x--x--v,0,,Sunnites;Relations;Shīʻah;Early works,http://id.worldcat.org/fast/1138714;http://id.worldcat.org/fast/1892706;http://id.worldcat.org/fast/1117946;http://id.worldcat.org/fast/1411636,
Talismans--Religious aspects--Early works to 1800,a--x--v,0,,Talismans;Early works,http://id.worldcat.org/fast/1142279;http://id.worldcat.org/fast/1411636,
Tax assessment,a,fast,http://id.worldcat.org/fast/1143676,Tax assessment,http://id.worldcat.org/fast/1143676,
Tax collection--Italy--Sicily,a--z--z,0,,Tax collection;Italy--Sicily,http://id.worldcat.org/fast/1143702;http://id.worldcat.org/fast/1204499,
"Theology--History--Early church, ca. 30-600",a--x--y,0,http://id.loc.gov/authorities/subjects/sh93009685,Theology;History;30-600,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355906,
Trigonometry--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2010117109,Trigonometry;Early works,http://id.worldcat.org/fast/1156713;http://id.worldcat.org/fast/1411636,
"Turkey--History--Süleyman I, 1520-1566",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85138808,Turkey;History;1520-1566,http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355582,
Venice (Italy)--Politics and government--Early works to 1800,a--x--v,0,,Italy--Venice;Politics and government;Early works,http://id.worldcat.org/fast/1204473;http://id.worldcat.org/fast/1919741;http://id.worldcat.org/fast/1411636,
Waqf--Iran--Early works to 1800,,openn-subjects,,Waqf;Iran;Early works,http://id.worldcat.org/fast/1170323;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1411636,
Wine and wine making--Law and legislation,a--x,fast,http://id.worldcat.org/fast/1175925,Wine and wine making--Law and legislation,http://id.worldcat.org/fast/1175925,
Women--Religious aspects--Hinduism,a--x--x,0,http://id.loc.gov/authorities/subjects/sh2020005253,Women--Religious aspects--Hinduism,http://id.worldcat.org/fast/1176916,
