holding_institution,shelfmark,iiif_manifest_url
Conception Abbey and Seminary,CA 43,https://iiif.archivelab.org/iiif/images_CA43_15/manifest.json
Conception Abbey and Seminary,CA 42,https://iiif.archivelab.org/iiif/images_CA42_15/manifest.json
Conception Abbey and Seminary,CA 41,https://iiif.archivelab.org/iiif/images_CA41_15/manifest.json
Conception Abbey and Seminary,CA 40,https://iiif.archivelab.org/iiif/images_CA40_15/manifest.json
Conception Abbey and Seminary,CA 39,https://iiif.archivelab.org/iiif/images_CA39_15/manifest.json
Conception Abbey and Seminary,CA 38,https://iiif.archivelab.org/iiif/images_CA38_15/manifest.json
Conception Abbey and Seminary,CA 37,https://iiif.archivelab.org/iiif/images_CA37_15/manifest.json
Conception Abbey and Seminary,CA 36,https://iiif.archivelab.org/iiif/images_CA36_15/manifest.json
Conception Abbey and Seminary,CA 35,https://iiif.archivelab.org/iiif/images_CA35_15/manifest.json
Conception Abbey and Seminary,CA 34,https://iiif.archivelab.org/iiif/images_CA34_15/manifest.json
Conception Abbey and Seminary,CA 33,https://iiif.archivelab.org/iiif/images_CA33_15/manifest.json
Conception Abbey and Seminary,CA 31,https://iiif.archivelab.org/iiif/images_CA31_15/manifest.json
Conception Abbey and Seminary,CA 30,https://iiif.archivelab.org/iiif/images_CA30_15/manifest.json
Conception Abbey and Seminary,CA 29,https://iiif.archivelab.org/iiif/images_CA29_15/manifest.json
Conception Abbey and Seminary,CA 28,https://iiif.archivelab.org/iiif/images_CA28_15/manifest.json
Conception Abbey and Seminary,CA 26,https://iiif.archivelab.org/iiif/images_CA26_15/manifest.json
Conception Abbey and Seminary,CA 24,https://iiif.archivelab.org/iiif/images_CA24_15/manifest.json
Conception Abbey and Seminary,CA 23,https://iiif.archivelab.org/iiif/images_CA23_15/manifest.json
Conception Abbey and Seminary,CA 22,https://iiif.archivelab.org/iiif/images_CA22_15/manifest.json
Conception Abbey and Seminary,CA 21,https://iiif.archivelab.org/iiif/images_CA21_15/manifest.json
Conception Abbey and Seminary,CA 20,https://iiif.archivelab.org/iiif/images_CA20_15/manifest.json
Conception Abbey and Seminary,CA 19,https://iiif.archivelab.org/iiif/images_CA19_15/manifest.json
Conception Abbey and Seminary,CA 18,https://iiif.archivelab.org/iiif/images_CA18_15/manifest.json
Conception Abbey and Seminary,CA 17,https://iiif.archivelab.org/iiif/images_CA17_15/manifest.json
Conception Abbey and Seminary,CA 16,https://iiif.archivelab.org/iiif/images_CA16_15/manifest.json
Conception Abbey and Seminary,CA 15,https://iiif.archivelab.org/iiif/images_CA15_15/manifest.json
Conception Abbey and Seminary,CA 14,https://iiif.archivelab.org/iiif/images_CA14_15/manifest.json
Conception Abbey and Seminary,CA 13,https://iiif.archivelab.org/iiif/images_CA13_15/manifest.json
Conception Abbey and Seminary,CA 12,https://iiif.archivelab.org/iiif/images_CA12_15/manifest.json
Conception Abbey and Seminary,CA 11,https://iiif.archivelab.org/iiif/images_CA11_15/manifest.json
Conception Abbey and Seminary,CA 10,https://iiif.archivelab.org/iiif/images_CA10_15/manifest.json
Conception Abbey and Seminary,CA 09,https://iiif.archivelab.org/iiif/images_CA09_15/manifest.json
Conception Abbey and Seminary,CA 08,https://iiif.archivelab.org/iiif/images_CA08_15/manifest.json
Conception Abbey and Seminary,CA 07,https://iiif.archivelab.org/iiif/images_CA07_15/manifest.json
Conception Abbey and Seminary,CA 06,https://iiif.archivelab.org/iiif/images_CA06_15/manifest.json
Conception Abbey and Seminary,CA 05,https://iiif.archivelab.org/iiif/images_CA05_15/manifest.json
Conception Abbey and Seminary,CA 04,https://iiif.archivelab.org/iiif/images_CA04_15/manifest.json
Conception Abbey and Seminary,CA 02,https://iiif.archivelab.org/iiif/images_CA02_15/manifest.json
Conception Abbey and Seminary,CA 01,https://iiif.archivelab.org/iiif/images_CA01_15/manifest.json
